word,frequency
okoyunug,1
minaza,1
induzuw,1
nosombozo,1
lansang,1
manaupanau,1
minintana,1
sambazaan,1
osombozo,1
rinding,1
biik,1
lolobuhon,1
mongobul,1
monginlolobuw,1
ingin,1
mokiapid,1
rumpak,1
lamari,1
magamut,1
mongolingkasu,1
pagamut,1
dumadang,1
dadang,1
kodos,1
gizak,1
guol,1
karangahon,1
ponot,1
iintaon,1
banang,1
tohirod,1
miringuvab,1
rata,1
gonsong,1
paangambang,1
pagka,1
silou,1
batad,1
kolumit,1
mansakpunti,1
mongoho,1
mongohobung,1
sorian,1
kusop,1
sumpakan,1
komulakan,1
sakazan,1
kusung,1
misarakilong,1
Moovb,1
Mungavb,1
Mondovb,1
Miisook,1
Miikaas,1
Mulziid,1
Mulziit,1
Disai,1
Ihibai,1
poka,1
inumon,1
Tinolon,1
Sansangkil,1
kupi,1
navi,1
monginum,1
Nababol,1
kinulat,1
munung,1
Orong,1
Podopo,1
Omu,1
kogoos,1
tumakad,1
noongipan,1
kabou,1
Idot,1
sori,1
ponong,1
Indon,1
buuk,1
Lingguvang,1
buzazat,1
magapon,1
odukon,1
butulYour,1
grandfather,1
dose,1
nt,1
have,1
hair,1
Gundul,1
sinukul,1
ulu,1
Nakampis,1
bula,1
kopimomoi,1
Managad,1
vulu,1
padang,1
mansak,1
apiapi,1
Mansak,1
baba,1
ovongi,1
torosok,1
ombolog,1
Nakalabus,1
Nokokot,1
Ilo,1
naas,1
kolinik,1
Karaharti,1
noma,1
Norika,1
nosingkapu,1
Orikot,1
nui,1
monivol,1
Kemot,1
koi,1
tohudi,1
longon,1
mononjipun,1
mozium,1
aliali,1
Atarom,1
Osogit,1
banaton,1
Kobulun,1
mintozog,1
mitupak,1
olungan,1
Mimbabarou,1
koulian,1
Dumarun,1
akapal,1
Addau,1
koduvo,1
kuvo,1
Piro,1
mangagaji,1
bos,1
Minatai,1
pizak,1
Bongung,1
kodimon,1
to,1
isudu,1
muapui,1
tahankan,1
onuvoni,1
id,1
kikinavid,1
sotirip,1
Ponginingon,1
Notongkop,1
Adavasi,1
kipaip,1
nom,1
tumonob,1
mato,1
mangagama,1
bubu,1
elo,1
sinamu,1
Ogom,1
mongogulon,1
Akan,1
Vizahon,1
Mamabut,1
Kodili,1
Tuami,1
siombo,1
Avuk,1
Nenum,1
lihing,1
sombol,1
kosipan,1
abanal,1
kapasi,1
penlaid,1
Humuzas,1
ongorobuk,1
itit,1
origi,1
Puruto,1
inggaton,1
Opodos,1
longuas,1
yadko,1
lazo,1
Sumambayang,1
kosino,1
patahakI,1
Dadan,1
lumohing,1
tantu,1
pibabarasan,1
Pongodunsul,1
nokotulai,1
Lagadlagadan,1
katisop,1
koduruk,1
nokokuro,1
Inavol,1
oduon,1
Mibilad,1
kai,1
dikito,1
ahakang,1
Ginit,1
vazaan,1
nobo,1
Bagu,1
Bandis,1
kondiri,1
magazau,1
masa,1
ikou,1
Sabap,1
koponosok,1
Sakai,1
insan,1
kosirid,1
bandal,1
Monorou,1
lumundu,1
Osorou,1
Soroho,1
Akahag,1
pongoretan,1
songkovozoo,1
kusai,1
Obong,1
malan,1
Kalu,1
Kumudat,1
opungai,1
pamayal,1
karan,1
Kopunovot,1
mimbasikal,1
Osusaan,1
didino,1
sumakit,1
nasala,1
kosuvang,1
gagamaon,1
Adi,1
nopo,1
mamung,1
mimomoi,1
obogihad,1
Amung,1
dahai,1
okudik,1
yokoi,1
Higak,1
ginavoku,1
nolingasan,1
Yama,1
Hodi,1
The,1
monkey,1
jumping,1
at,1
the,1
tree,1
Topik,1
Magandak,1
mogihad,1
kadan,1
pengkakat,1
Tuhop,1
modsu,1
Imatai,1
modturopik,1
Onsom,1
santangkus,1
koubat,1
tizan,1
lumansat,1
rinda,1
mogontong,1
alamou,1
Sumondot,1
tarabang,1
Nozuzu,1
kumaa,1
Ranau,1
kologod,1
Nantakan,1
zuzu,1
Welson,1
Kovian,1
opodok,1
omoton,1
nobi,1
Sumakap,1
tinunuvan,1
pahi,1
ikana,1
Alaid,1
tumai,1
Posik,1
Eduan,1
sumikul,1
Iseso,1
alud,1
Na,1
koindakadan,1
osuhul,1
tumuhop,1
katangaran,1
linugu,1
Tanamai,1
labuk,1
karaja,1
Suvaiko,1
aparu,1
gumama,1
kakan,1
riniba,1
Gumama,1
humangi,1
Rinaru,1
etom,1
kagi,1
Pungaranan,1
Mosong,1
Dongot,1
Osomok,1
aka,1
Siti,1
kod,1
somok,1
mokisuvu,1
kono,1
Tiumoning,1
odu,1
mogom,1
Sid,1
kunsi,1
kuran,1
mingalud,1
tapung,1
ginama,1
Obozigi,1
Onoi,1
Mangasip,1
Nakanu,1
Yoboi,1
poliputan,1
luvang,1
rahat,1
Andang,1
ponugirak,1
Ahadtong,1
koulun,1
Maslina,1
Obohog,1
dolou,1
mindolongoi,1
Romito,1
itunui,1
Onong,1
si,1
Aiyah,1
mongovit,1
pongizanan,1
siiin,1
Inai,1
Ba,1
yad,1
mangakun,1
okui,1
Elo,1
gumau,1
It,1
ongoondu,1
mamangasok,1
sumakai,1
Aragang,1
kurita,1
Galong,1
Siombi,1
soripal,1
Toduko,1
avahai,1
alad,1
tiakan,1
okuI,1
will,1
cook,1
pancake,1
napasa,1
Sumul,1
mogoduw,1
Mongoduat,1
Duat,1
sigu,1
not,1
elaan,1
positio,1
pangalap,1
nuza,1
Asapou,1
nakalampai,1
bavang,1
nopompon,1
turu,1
warana,1
Kasakit,1
Bulan,1
Duabalas,1
manampangi,1
Magadarun,1
pongovian,1
Ingkazut,1
ponurud,1
somumut,1
polingan,1
monurud,1
Binaagbaag,1
mamaagbaang,1
neduan,1
tuo,1
Sampai,1
sera,1
suti,1
Nokorikot,1
Sandakan,1
Umbasibasi,1
Minomoros,1
tisobu,1
Makan,1
mampalam,1
Navi,1
asin,1
Kasangai,1
ikouYour,1
siblings,1
look,1
identical,1
kovosiho,1
Mundari,1
Rompok,1
Anak,1
naru,1
duvo,1
Luu,1
vuros,1
Asakahan,1
sarung,1
bantal,1
Abangat,1
Pising,1
vizau,1
kekumikum,1
patahak,1
lumikop,1
opusus,1
moginuhod,1
magavuk,1
Sumuti,1
opku,1
Lungkabo,1
nodsitan,1
hakod,1
Mongovit,1
dumarun,1
Amazon,1
sovoon,1
Kuran,1
gama,1
pizas,1
Karahati,1
boros,1
Kina,1
Ohorotizani,1
nunu,1
harati,1
mabalabas,1
Iti,1
kosusaan,1
kopogos,1
mantadko,1
angaaki,1
Avantang,1
tanaman,1
Pamasa,1
Kitab,1
tining,1
moniag,1
kendakod,1
asavat,1
Biruvokon,1
tumuddung,1
savat,1
bangunan,1
Banalko,1
engin,1
Morikan,1
nokotibang,1
magandaha,1
timog,1
nosobuvan,1
Kondong,1
Oboloti,1
Avang,1
mitalib,1
Minamanau,1
Mamanau,1
suvab,1
Minduzuw,1
binatang,1
Manaupanau,1
nokorikot,1
yoti,1
Siombo,1
Papang,1
sumodop,1
nokouli,1
Ingin,1
dika,1
notogipan,1
Dumadang,1
Dadang,1
gontizan,1
Toun,1
muvalai,1
agazo,1
nemot,1
Mansakpunti,1
vulanut,1
votik,1
inan,1
Mongoho,1
minanganu,1
Oho,1
duatan,1
noko,1
ozi,1
Ikau,1
osiou,1
garaso,1
Omulok,1
pokisavo,1
Dikau,1
sirung,1
Dika,1
